filename,sample_type
Std1000pt0_1_GC8_01_43606.mzXML,dil1000
Std1000pt0_2_GC8_01_43607.mzXML,dil1000
Std1000pt0_3_GC8_01_43608.mzXML,dil1000
Std125pt0_1_GC5_01_43596.mzXML,dil125
Std125pt0_2_GC5_01_43597.mzXML,dil125
Std125pt0_3_GC5_01_43598.mzXML,dil125
Std2000pt0_1_GD1_01_43610.mzXML,dil2000
Std2000pt0_2_GD1_01_43611.mzXML,dil2000
Std2000pt0_3_GD1_01_43612.mzXML,dil2000
Std250pt0_1_GC6_01_43599.mzXML,dil250
Std250pt0_2_GC6_01_43600.mzXML,dil250
Std250pt0_3_GC6_01_43601.mzXML,dil250
Std500pt0_1_GC7_01_43603.mzXML,dil500
Std500pt0_2_GC7_01_43604.mzXML,dil500
Std500pt0_3_GC7_01_43605.mzXML,dil500
calcurve_blk_LCMSsolvent_3_GA1_01_43588.mzXML,blank
calcurve_blk_LCMSsolvent_5_GA1_01_43595.mzXML,blank
calcurve_blk_LCMSsolvent_7_GA1_01_43602.mzXML,blank
